time_stamp, average time, incremental time, search time,fov check time, total time, alpha_bal, alpha_del
1577837026.19946909,0.03151844,0.00590228,0.00000400,74089.00000000,0.03417221,0.000000,0.000000
1577837026.29928899,0.03155836,0.00609790,0.00000510,74325.00000000,0.05007928,0.000000,0.000000
1577837026.39993095,0.03157582,0.00754936,0.00000414,74438.00000000,0.03969762,0.000000,0.000000
1577837026.49976707,0.03158645,0.00506277,0.00000407,74443.00000000,0.03653797,0.000000,0.000000
1577837026.59959507,0.03157725,0.00361153,0.00000362,74522.00000000,0.02728105,0.000000,0.000000
1577837026.69943714,0.03159863,0.00340410,0.00000552,74522.00000000,0.04160214,0.000000,0.000000
1577837026.79966903,0.03159328,0.00365951,0.00000407,74529.00000000,0.02908471,0.000000,0.000000
1577837026.89950800,0.03158193,0.00351047,0.00000383,74603.00000000,0.02625004,0.000000,0.000000
1577837026.99935317,0.03160014,0.00472774,0.00000454,74665.00000000,0.04017450,0.000000,0.000000
1577837027.09999299,0.03163655,0.00389055,0.00000550,74741.00000000,0.04882296,0.000000,0.000000
1577837027.19983411,0.03164825,0.00467934,0.00000444,74819.00000000,0.03718415,0.000000,0.000000
1577837027.29966593,0.03164205,0.00390466,0.00000368,74850.00000000,0.02870219,0.000000,0.000000
1577837027.39950585,0.03165645,0.00455544,0.00000412,74895.00000000,0.03849473,0.000000,0.000000
1577837027.49934387,0.03164723,0.00385674,0.00000342,74925.00000000,0.02726212,0.000000,0.000000
1577837027.59998488,0.03165097,0.00488412,0.00000387,74748.00000000,0.03343231,0.000000,0.000000
1577837027.69982481,0.03165216,0.00426266,0.00000404,74869.00000000,0.03222160,0.000000,0.000000
1577837027.79967093,0.03168147,0.00566349,0.00000492,74977.00000000,0.04572163,0.000000,0.000000
1577837027.89950490,0.03168757,0.00553037,0.00000411,75004.00000000,0.03461410,0.000000,0.000000
1577837027.99935102,0.03168204,0.00471887,0.00000357,75130.00000000,0.02902353,0.000000,0.000000
1577837028.09998488,0.03167458,0.00351773,0.00000352,73032.00000000,0.02807836,0.000000,0.000000
1577837028.19980383,0.03168165,0.00434082,0.00000512,73172.00000000,0.03509769,0.000000,0.000000
1577837028.29963899,0.03168486,0.00463562,0.00000409,73253.00000000,0.03323947,0.000000,0.000000
1577837028.39948201,0.03168473,0.00452583,0.00000398,73287.00000000,0.03161830,0.000000,0.000000
1577837028.49933314,0.03174669,0.00434452,0.00000476,73337.00000000,0.06186134,0.000000,0.000000
1577837028.59996700,0.03175215,0.00347617,0.00000468,73378.00000000,0.03440974,0.000000,0.000000
1577837028.69981909,0.03174670,0.00321692,0.00000416,73447.00000000,0.02908527,0.000000,0.000000
